news_id,Title,Date,Tags,URL,Classification,Justification,Cable Name,Countries Involved
1,Baltic Subsea Cable Damage Deemed Accidental,2025-01-20T16:22:23-05:00,"cable fault, Estlink-2, Russia, submarine cable. NATO",https://subtelforum.com/baltic-subsea-cable-damage-deemed-accidental/,Human Activity,"The article indicates that subsea cable damage in the Baltic Sea was likely caused by maritime accidents involving inexperienced crews aboard poorly maintained vessels, with explicit mentions of anchors being dragged across the seabed. While there are suspicions of sabotage, the primary cause points to accidental human activity.",Unknown,Russia
2,Undersea Cables Severed; Taiwan and NATO Respond,2025-01-14T11:10:41-05:00,"Baltic, China, NATO, Russia, security, submarine cable, Taiwan",https://subtelforum.com/undersea-cables-severed-taiwan-and-nato-respond/,Geopolitical,"The article discusses damage to undersea cables, with suspicions of sabotage by state actors (Russia and China) amid heightened geopolitical tensions, including references to ""gray-zone interference"" and NATO responses to similar incidents in the Baltic Sea.",Unknown,"China, Russia, Taiwan, Baltic"
3,Taiwan Accuses Chinese Ship of Cutting Submarine Cables,2025-01-08T14:57:23-05:00,"cable fault, China, submarine cable, Taiwan",https://subtelforum.com/taiwan-accuses-chinese-ship-of-cutting-submarine-cables/,Geopolitical,"The article describes an incident where a ship allegedly linked to China damaged a submarine cable in Taiwanese waters, with suggestions of deliberate action and geopolitical motives, including references to ""gray zone warfare"" and previous similar incidents involving Chinese vessels.",Unknown,"China, Taiwan"
4,PTA Warns of Internet Disruptions Nationwide,2025-01-08T12:13:46-05:00,"AAE1, cable fault, Internet, Pakistan, submarine cable",https://subtelforum.com/pta-warns-of-internet-disruptions-nationwide/,Human Activity,"The disruption is caused by a fault in the AAe-1 submarine cable, which is likely due to human-related activities such as maintenance, accidental damage, or operational failures, rather than geopolitical, environmental, or aging factors.",Unknown,Pakistan
5,Finland Detains Russian Vessel Over Cable Damage,2025-01-08T12:01:20-05:00,"cable fault, Estlink-2, Estonia, Finland, power cable, Russia, security",https://subtelforum.com/finland-detains-russian-vessel-over-cable-damage/,Geopolitical,"The incident involves a ship linked to Russia's shadow fleet, which is suspected of damaging critical infrastructure (Baltic Seapower cable and data cables) amid heightened tensions due to the war in Ukraine. The geopolitical context, including sanctions evasion and accusations of hybrid attacks, is the primary cause.",Unknown,"Russia, Finland, Estonia"
6,AAE-1 and APG Cable Disruptions Impact Vietnam’s Internet,2024-12-04T12:52:54-05:00,"AAE1, APG, cable fault, Internet, submarine cable, telecoms, Vietnam",https://subtelforum.com/aae-1-and-apg-cable-disruptions-impact-vietnams-internet/,Aging,"The article mentions unresolved issues and repeated delays in repairs for the AAE-1 cable, as well as extended repair times in recent years, suggesting degradation or maintenance challenges. The APG cable failure's cause is unknown, but the context of frequent incidents and prolonged repairs points to aging infrastructure as the likely underlying cause.",APG,Vietnam
7,Finland: Cable Break Due to Excavation Accident,2024-12-04T12:52:31-05:00,"Baltic, cable fault, Finland, submarine cable, Sweden, telecoms",https://subtelforum.com/finland-cable-break-due-to-excavation-accident/,Human Activity,"The damage to the fiber-optic cables was explicitly stated to be caused by excavation work, which is a human activity, and not sabotage or natural causes.",Unknown,"Finland, Baltic, Sweden"
8,Chinese Ship Detained Over Baltic Cable Sabotage,2024-11-20T14:39:47-05:00,"Baltic, cable outage, Europe, Internet, security, submarine cable, telecoms",https://subtelforum.com/chinese-ship-detained-over-baltic-cable-sabotage/,Geopolitical,"The article describes the sabotage of undersea telecom cables in the Baltic Sea, implicating a Chinese vessel and suggesting geopolitical tensions, including references to hybrid actions and regional tensions with Moscow. The involvement of national defense ministers and the context of international relations strongly point to a geopolitical cause.",Unknown,Baltic
9,Baltic Cable Damage Sparks Sabotage Probes,2024-11-20T14:51:08-05:00,"Baltic, cable outage, Europe, Internet, submarine cable, telecoms",https://subtelforum.com/baltic-cable-damage-sparks-sabotage-probes/,Human Activity,"The article mentions the Submarine Telecoms Forum, which focuses on industry insights and news related to submarine cables, suggesting human-driven activities such as construction, maintenance, or updates in the telecom sector.",Unknown,Baltic
10,Germany Suspects Sabotage After Undersea Cables Severed,2024-11-20T14:27:13-05:00,"cable outage, CLion1, Europe, Finland, Germany, Internet, security, submarine cable",https://subtelforum.com/germany-suspects-sabotage-after-undersea-cables-severed/,Geopolitical,"The article explicitly mentions the German defense minister suspecting ""deliberate acts of sabotage"" and refers to the incidents as a ""hybrid action,"" suggesting state-sponsored or military-related involvement. The context points to intentional damage linked to geopolitical tensions.",Unknown,"Finland, Europe, Germany, CLion1"
11,Internet Service Restored in Pakistan After Cable Repairs,2024-11-01T10:38:58-04:00,"Internet, Pakistan, repair, SEAMEWE4, submarine cable",https://subtelforum.com/internet-service-restored-in-pakistan-after-cable-repairs/,Aging,"The faults in the SMW-4 and AAE-1 submarine cables were identified and repaired, suggesting degradation or wear over time as the cause of the disruptions.",Unknown,Pakistan
12,Real Culprit Behind Pakistan 2024 Internet Disruptions,2024-10-30T11:59:47-04:00,"cable fault, Capacity, Internet, Pakistan, telecoms",https://subtelforum.com/real-culprit-behind-pakistan-2024-internet-disruptions/,Unknown,Failed to scrape article.,Unknown,Pakistan
13,Kuwait Internet Restored After Submarine Cable Disruption,2024-10-01T11:55:55-04:00,"cable fault, Falcon, Global Cloud Xchange, Internet, Kuwait, submarine cable, telecoms",https://subtelforum.com/kuwait-internet-restored-after-submarine-cable-disruption/,Human Activity,"The disruption was caused by a fault in the Falcon international submarine cable, which is likely due to operational or accidental damage rather than natural events, geopolitical actions, or aging. The article mentions coordination with the cable operator and rerouting traffic, but does not indicate sabotage or environmental causes.",Unknown,Kuwait
14,Bangladesh Internet Disruption Expected Due to Cable Work,2024-09-27T14:27:42-04:00,"Bangladesh, BSCCL, Internet, maintenance, SEAMEWE4, SEAMEWE5, submarine cable, telecoms",https://subtelforum.com/bangladesh-internet-disruption-expected-due-to-cable-work/,Aging,"The article explicitly mentions maintenance work being conducted on the SEA-ME-WE 5 submarine cable, which indicates the disruption is due to planned upkeep of an existing cable, a clear sign of aging-related activity.",Unknown,"SEAMEWE5, Bangladesh"
15,TM Reports Submarine Cable Fault Impacting Unifi Service,2024-09-20T10:48:51-04:00,"cable fault, Internet, Malaysia, submarine cable, telecoms, TM, Unifi",https://subtelforum.com/tm-reports-submarine-cable-fault-impacting-unifi-service/,Aging,"The article mentions a submarine cable fault and ongoing repairs by Telekom Malaysia, with no indication of external causes like human activity, environmental events, or geopolitical issues. The context suggests degradation or maintenance as the likely cause.",Unknown,Malaysia
16,Digicel Faces Submarine Cable Failure Amid Legal Dispute,2024-09-19T10:22:37-04:00,"cable fault, Digicel, Haiti, legal, submarine cable, telecoms",https://subtelforum.com/digicel-faces-submarine-cable-failure-amid-legal-dispute/,Geopolitical,"The incident involves a dispute between Digicel and Paret Hospitality Group S.A., where access to the cable for repairs was denied due to alleged financial and legal conflicts. This indicates a human-caused obstruction tied to organizational or legal tensions rather than natural causes, accidents, or aging infrastructure.",Unknown,"Digicel, Haiti"
17,Submarine Cable Faults Disrupts Internet in Pakistan,2024-08-28T13:00:24-04:00,"AAE1, cable fault, Internet, Pakistan, SMW4, submarine cable, telecoms",https://subtelforum.com/submarine-cable-faults-disrupts-internet-in-pakistan/,Aging,"The article explicitly mentions faults in two undersea Internet cables (SMW4, AAE-1) as the cause of slow Internet speeds, with one cable undergoing repair. This indicates degradation or maintenance issues typical of aging infrastructure.",Unknown,"SMW4, Pakistan"
18,Cable Cut to Hit Net Users in the UAE,2024-08-28T11:55:16-04:00,"cable fault, Dubai, FLAG, Internet, submarine cable, telecoms, UAE",https://subtelforum.com/cable-cut-to-hit-net-users-in-the-uae/,Human Activity,"The article mentions an undersea cable cut between Dubai and Oman, specifically the FLAG cable, but does not attribute the cause to geopolitical actions, environmental events, or aging. Human activity, such as shipping or construction, is the most likely cause unless proven otherwise.",Unknown,"UAE, Dubai"
